id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1095374,"ENSG00000143632",55,"ACTA1","actin, alpha 1, skeletal muscle",58,"1","n/a","n/a"
1090339,"ENSG00000107796",56,"ACTA2","actin, alpha 2, smooth muscle, aorta",59,"10","n/a","n/a"
1088191,"ENSG00000075624",57,"ACTB","actin, beta",60,"7","n/a","n/a"
1099472,"ENSG00000169067",110184,"ACTBL2","actin, beta-like 2",345651,"5","n/a","n/a"
1097273,"ENSG00000159251",67,"ACTC1","actin, alpha, cardiac muscle 1",70,"15","n/a","n/a"
1102487,"ENSG00000184009",68,"ACTG1","actin, gamma 1",71,"17","n/a","n/a"
1097847,"ENSG00000163017",69,"ACTG2","actin, gamma 2, smooth muscle, enteric",72,"2","n/a","n/a"
1094514,"ENSG00000138071",9952,"ACTR2","ARP2 actin-related protein 2 homolog (yeast)",10097,"2","n/a","n/a"
1096372,"ENSG00000151694",6828,"ADAM17","ADAM metallopeptidase domain 17",6868,"2","n/a","n/a"
1098775,"ENSG00000166313",319,"APBB1","amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",322,"11","n/a","n/a"
1098058,"ENSG00000163697",320,"APBB2","amyloid beta (A4) precursor protein-binding, family B, member 2",323,"4","n/a","n/a"
1091038,"ENSG00000113108",10161,"APBB3","amyloid beta (A4) precursor protein-binding, family B, member 3",10307,"5","n/a","n/a"
1091597,"ENSG00000117362",30589,"APH1A","anterior pharynx defective 1 homolog A (C. elegans)",51107,"1","n/a","n/a"
1094608,"ENSG00000138613",57708,"APH1B","anterior pharynx defective 1 homolog B (C. elegans)",83464,"15","n/a","n/a"
1095140,"ENSG00000142192",348,"APP","amyloid beta (A4) precursor protein",351,"21","n/a","n/a"
1103063,"ENSG00000186318",23375,"BACE1","beta-site APP-cleaving enzyme 1",23621,"11","n/a","n/a"
1102055,"ENSG00000182240",25574,"BACE2","beta-site APP-cleaving enzyme 2",25825,"21","n/a","n/a"
1087325,"ENSG00000026508",955,"CD44","CD44 molecule (Indian blood group)",960,"11","n/a","n/a"
1087425,"ENSG00000039068",994,"CDH1","cadherin 1, type 1, E-cadherin (epithelial)",999,"16","n/a","n/a"
1087710,"ENSG00000062038",996,"CDH3","cadherin 3, type 1, P-cadherin (placental)",1001,"16","n/a","n/a"
1087473,"ENSG00000044115",1484,"CTNNA1","catenin (cadherin-associated protein), alpha 1, 102kDa",1495,"5","n/a","n/a"
1087830,"ENSG00000066032",1485,"CTNNA2","catenin (cadherin-associated protein), alpha 2",1496,"2","n/a","n/a"
1102286,"ENSG00000183230",28855,"CTNNA3","catenin (cadherin-associated protein), alpha 3",29119,"10","n/a","n/a"
1099229,"ENSG00000168036",1488,"CTNNB1","catenin (cadherin-associated protein), beta 1, 88kDa",1499,"3","n/a","n/a"
1090304,"ENSG00000107404",1843,"DVL1","dishevelled, dsh homolog 1 (Drosophila)",1855,"1","n/a","n/a"
1086933,"ENSG00000004975",1844,"DVL2","dishevelled, dsh homolog 2 (Drosophila)",1856,"17","n/a","n/a"
1097535,"ENSG00000161202",1845,"DVL3","dishevelled, dsh homolog 3 (Drosophila)",1857,"3","n/a","n/a"
1101427,"ENSG00000178568",2051,"ERBB4","v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)",2066,"2","n/a","n/a"
1101436,"ENSG00000178607",2066,"ERN1","endoplasmic reticulum to nucleus signaling 1",2081,"17","n/a","n/a"
1093809,"ENSG00000134398",10448,"ERN2","endoplasmic reticulum to nucleus signaling 2",10595,"16","n/a","n/a"
1094921,"ENSG00000140564",5013,"FURIN","furin (paired basic amino acid cleaving enzyme)",5045,"15","n/a","n/a"
1097024,"ENSG00000157240",8263,"FZD1","frizzled family receptor 1",8321,"7","n/a","n/a"
